id;date;details;status;payment_method;payment_date;payment_amount;code;order_id
1;2021-06-21T17:40:51;RAM systemic;PAID;CASH_ON_DELIVERY;2021-06-21T22:06:46;5801;Infrastructure gold Grove;1
2;2021-06-21T14:30:57;Soft program;CANCELLED;CREDIT_CARD;2021-06-21T17:05:21;92692;Consultant;2
3;2021-06-22T00:08:02;reciprocal;ISSUED;PAYPAL;2021-06-21T21:43:43;56857;Home;3
4;2021-06-22T01:41:59;Bhutanese;CANCELLED;PAYPAL;2021-06-22T03:31:32;87472;parse intuitive Division;4
5;2021-06-21T16:28:17;back-end synergy transmitting;CANCELLED;CASH_ON_DELIVERY;2021-06-21T14:53:27;98367;Gloves visualize;5
6;2021-06-21T11:08:25;function;CANCELLED;CREDIT_CARD;2021-06-22T05:59:11;85471;Director;6
7;2021-06-22T02:51:59;Maine;PAID;CREDIT_CARD;2021-06-21T12:08:13;11254;customized hub;7
8;2021-06-21T21:26:45;Agent Towels Groves;PAID;PAYPAL;2021-06-21T11:46:28;83224;interactive deposit Electronics;8
9;2021-06-21T13:55:05;Concrete Toys Plains;PAID;CREDIT_CARD;2021-06-21T19:25:26;34085;Wooden Intuitive applications;9
10;2021-06-22T06:45:06;Arizona Vermont system;ISSUED;CREDIT_CARD;2021-06-21T16:57:43;6974;CSS;10
